ID,Date,Temp_m,Generation,Irradiance,Capacity,Lat,Lon,Angle,Irradiance_m,Temp,Module
1,2020/6/9,,630,8.37,499.8,25.11,121.26,22,2325,26.3,1
2,2020/6/10,,2246,17.11,499.8,25.11,121.26,22,4753,27.9,1
3,2020/6/11,,1147,12.26,499.8,25.11,121.26,22,3406,28,1
4,2020/6/12,,2946,21.51,499.8,25.11,121.26,22,5975,28.6,1
5,2020/6/13,,3139,23.18,499.8,25.11,121.26,22,6439,29.1,1
6,2020/6/14,,2618,18.57,499.8,25.11,121.26,22,5158,28.3,1
7,2020/6/15,,3093,27.04,499.8,25.11,121.26,22,7511,29,1
8,2020/6/16,,3256,28.65,499.8,25.11,121.26,22,7958,29.3,1
9,2020/6/17,,3280,28.63,499.8,25.11,121.26,22,7953,29.2,1
10,2020/6/18,,3238,28.6,499.8,25.11,121.26,22,7944,29.4,1
11,2020/6/19,,3017,26.08,499.8,25.11,121.26,22,7244,29.4,1
12,2020/6/20,,3219,27.27,499.8,25.11,121.26,22,7575,29.6,1
13,2020/6/21,,2551,21.69,499.8,25.11,121.26,22,6025,29.4,1
14,2020/6/22,,2872,25.25,499.8,25.11,121.26,22,7014,29.6,1
15,2020/6/23,,3070,26.71,499.8,25.11,121.26,22,7419,30.4,1
16,2020/6/24,,2902,26.2,499.8,25.11,121.26,22,7278,30.2,1
17,2020/6/25,,3054,27.54,499.8,25.11,121.26,22,7650,30.5,1
18,2020/6/26,,2349,20.06,499.8,25.11,121.26,22,5572,29.3,1
19,2020/6/27,,2985,27.61,499.8,25.11,121.26,22,7669,29.8,1
20,2020/6/28,,2966,26.16,499.8,25.11,121.26,22,7267,29.7,1
21,2020/6/29,,2960,24.71,499.8,25.11,121.26,22,6864,30.5,1
22,2020/6/30,,2650,23.69,499.8,25.11,121.26,22,6581,30.3,1
23,2020/7/1,,2703,20.73,499.8,25.11,121.26,22,5758,29.6,1
24,2020/7/2,,2153,16.73,499.8,25.11,121.26,22,4647,28.1,1
25,2020/7/3,,2268,18.42,499.8,25.11,121.26,22,5117,28.9,1
26,2020/7/4,,2778,24.77,499.8,25.11,121.26,22,6881,29.7,1
27,2020/7/5,,3063,25.34,499.8,25.11,121.26,22,7039,29.6,1
28,2020/7/6,,2781,24.09,499.8,25.11,121.26,22,6692,30,1
29,2020/7/7,,2744,22.49,499.8,25.11,121.26,22,6247,30.4,1
30,2020/7/8,,2452,20.23,499.8,25.11,121.26,22,5619,30.2,1
31,2020/7/9,,1844,16.1,499.8,25.11,121.26,22,4472,30.4,1
32,2020/7/10,,2309,16.2,499.8,25.11,121.26,22,4500,30,1
33,2020/7/11,,3052,26.32,499.8,25.11,121.26,22,7311,29.8,1
34,2020/7/12,,3124,28.28,499.8,25.11,121.26,22,7856,30.1,1
35,2020/7/13,,3059,27.13,499.8,25.11,121.26,22,7536,30.2,1
36,2020/7/14,,2884,23.27,499.8,25.11,121.26,22,6464,30.1,1
37,2020/7/15,,2402,16.95,499.8,25.11,121.26,22,4708,30.4,1
