ID,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,Y
1,41.83,124.94,263.22,300.57,10.35,10.39,10.32,90.28,261.76,26.72,38.84,955.2,5715.0,5407.5,6407.5,7.37,18.0,3776.31,24.0,0.05,10.35,7.93,78.01,358689.0,3
2,41.97,125.3,262.12,300.53,10.33,10.4,10.34,89.5,268.51,26.84,37.54,961.5,5702.5,5407.5,6417.5,7.4,18.0,3760.59,24.0,0.0,9.67,7.97,78.08,339139.0,3
3,41.9,125.0,261.45,300.29,10.35,10.41,10.33,89.74,263.78,25.93,34.98,952.19,5690.0,5392.5,6405.0,7.44,18.0,3754.59,24.0,0.0,9.68,7.98,79.5,326082.0,3
4,42.33,125.25,262.12,298.94,10.31,10.41,10.33,89.69,260.09,27.34,37.11,937.14,5680.0,5392.5,6427.5,7.47,18.0,3746.73,8.0,5.28,10.92,7.95,80.07,321295.0,3
5,42.37,125.03,262.94,301.73,10.33,10.4,10.32,90.2,262.26,41.93,45.88,921.01,5670.0,5377.5,6400.0,7.5,18.0,3748.58,8.0,4.6,11.12,7.94,79.96,339248.0,2
6,41.25,124.61,260.12,298.03,10.38,10.41,10.32,89.91,260.62,26.27,34.47,970.43,5705.0,5400.0,6430.0,7.52,18.0,3743.5,8.0,4.74,11.2,7.89,79.5,327097.0,2
7,42.4,125.34,261.54,299.49,10.38,10.45,10.34,89.91,260.62,26.88,35.6,949.47,5722.5,5407.5,6442.5,7.53,18.0,3743.03,8.0,4.6,11.19,7.95,80.35,350576.0,2
8,41.63,124.71,260.75,299.47,10.35,10.43,10.33,86.86,249.64,26.52,35.34,940.61,5707.5,5405.0,6460.0,7.54,18.0,3746.27,8.0,4.59,11.17,7.92,80.18,386800.0,2
9,41.45,125.07,260.74,298.93,10.35,10.42,10.33,85.87,256.87,31.89,42.2,917.69,5672.5,5382.5,6415.0,7.53,18.0,3743.03,8.0,4.59,11.17,7.93,82.18,400449.0,2
10,42.34,125.22,263.08,301.88,10.32,10.44,10.34,86.91,250.15,25.9,34.2,977.39,5715.0,5412.5,6460.0,7.51,18.0,3742.11,18.0,783.4,11.17,7.94,81.22,360198.0,2
11,41.91,124.82,261.75,300.95,10.33,10.42,10.33,85.16,253.8,24.66,33.05,953.47,5710.0,5407.5,6432.5,7.5,18.0,3741.19,8.0,771.35,12.25,7.91,78.05,361350.0,2
12,41.86,125.12,260.55,296.41,10.33,10.4,10.32,86.39,253.25,27.63,38.1,933.29,5695.0,5397.5,6432.5,7.47,18.0,3734.71,8.0,425.49,12.14,7.86,77.84,372153.0,2
13,41.42,124.85,259.41,298.96,10.36,10.45,10.32,86.15,259.64,29.37,40.19,957.82,5707.5,5400.0,6442.5,7.44,18.0,3737.95,8.0,423.15,12.1,7.86,77.83,323951.0,2
14,42.11,125.2,261.63,300.24,10.33,10.4,10.31,85.49,253.25,26.35,36.06,961.96,5707.5,5412.5,6405.0,7.41,18.0,3725.93,28.0,0.0,11.76,7.89,76.91,337835.0,2
15,41.53,124.74,259.89,298.64,10.35,10.42,10.33,85.86,257.16,24.72,33.45,964.17,5730.0,5420.0,6425.0,7.41,18.0,3716.69,28.0,0.0,11.08,7.88,78.09,360108.0,5
16,41.72,125.13,259.74,298.39,10.36,10.42,10.32,84.2,258.55,24.43,33.53,950.22,5717.5,5410.0,6402.5,7.43,18.0,3701.9,28.0,0.0,11.44,7.88,82.32,343284.0,4
17,41.53,124.97,260.32,298.01,10.38,10.41,10.32,84.2,258.55,25.87,36.75,946.4,5705.0,5415.0,6422.5,7.48,18.0,3695.43,18.0,0.0,12.41,7.91,82.71,340384.0,4
18,41.62,124.9,260.49,299.63,10.32,10.4,10.27,82.74,252.15,26.12,37.4,936.8,5695.0,5400.0,6417.5,7.56,18.0,3688.96,8.0,412.68,11.38,7.89,82.38,328198.0,4
19,43.12,125.69,265.09,303.22,10.34,10.42,10.29,84.47,257.43,26.7,38.17,963.81,5693.13,5410.63,6429.38,7.64,18.0,3683.41,8.0,411.77,19.7,7.85,78.24,330802.0,4
20,41.48,124.53,264.67,304.76,10.35,10.4,10.32,88.08,237.34,26.62,39.28,943.99,5710.0,5417.5,6429.38,7.7,18.0,3677.87,8.0,411.77,22.36,7.9,77.93,325657.0,4
21,40.56,124.54,259.75,297.8,10.34,10.42,10.33,86.84,252.83,25.38,36.38,962.91,5692.5,5413.13,6426.25,7.74,18.0,3667.7,8.0,414.09,24.19,7.88,76.9,348120.0,4
22,40.84,124.88,261.16,299.47,10.34,10.42,10.32,85.99,257.45,25.22,35.51,959.47,5718.75,5415.0,6439.38,7.78,18.0,3661.69,8.0,411.19,21.22,7.91,78.14,335483.0,4
23,41.65,125.33,263.75,302.11,10.37,10.44,10.31,88.52,236.28,29.76,41.49,927.28,5718.75,5419.38,6438.13,7.8,18.0,3661.23,8.0,412.53,18.86,7.96,82.39,324504.0,4
24,40.6,124.43,262.05,302.53,10.34,10.4,10.35,87.21,262.63,28.78,40.13,953.31,5708.13,5428.75,6437.5,7.82,18.0,3660.77,8.0,411.38,24.25,7.97,82.39,325306.0,3
25,41.61,125.45,262.86,301.83,10.36,10.46,10.32,85.96,262.68,28.66,39.68,943.96,5710.0,5423.75,6425.0,7.84,18.0,3660.77,8.0,412.83,25.43,7.95,80.3,313380.0,3
26,41.26,124.94,263.24,302.56,10.35,10.39,10.31,86.42,264.23,26.39,35.41,971.4,5697.5,5417.5,6430.63,7.86,18.0,3662.15,8.0,409.72,20.05,7.95,78.72,328380.0,3
27,40.43,124.76,259.63,294.6,10.31,10.39,10.3,86.42,264.23,25.85,34.04,954.36,5696.25,5412.5,6411.25,7.87,18.0,3660.31,18.0,748.62,17.44,7.92,77.15,322342.0,3
28,40.56,124.81,260.62,300.42,10.33,10.4,10.33,85.84,261.35,29.03,38.48,937.13,5693.13,5412.5,6406.25,7.88,18.0,3651.52,18.0,751.49,14.88,7.95,79.57,320497.0,3
29,42.01,125.75,263.2,292.87,10.33,10.38,10.34,96.55,244.09,28.42,37.24,962.25,5735.63,5441.88,6452.5,7.89,18.0,3648.75,18.0,754.74,38.85,7.94,78.92,323798.0,3
30,41.2,124.47,263.21,305.07,10.37,10.44,10.32,96.41,280.6,30.41,40.1,947.11,5706.88,5413.13,6420.0,7.91,18.0,3650.6,12.0,748.02,25.62,7.95,82.99,329780.0,3
31,41.61,125.49,262.36,299.8,10.35,10.4,10.31,99.65,289.3,26.5,36.22,951.12,5723.13,5433.13,6449.38,7.92,18.0,3644.13,12.0,748.47,20.14,7.98,83.63,325987.0,3
32,42.69,125.41,264.1,303.74,10.36,10.41,10.3,96.54,278.91,25.96,35.51,965.73,5698.13,5416.25,6416.88,7.93,18.0,3644.59,12.0,747.17,19.11,8.0,81.17,327675.0,3
33,41.85,124.91,261.86,299.24,10.36,10.41,10.33,96.36,289.7,26.78,36.3,957.36,5709.38,5422.5,6429.38,7.94,18.0,3634.89,12.0,748.28,24.64,7.95,78.13,315272.0,3
34,41.37,124.62,260.34,297.28,10.35,10.4,10.31,95.92,281.76,27.85,38.23,940.36,5688.75,5405.63,6420.63,7.95,18.0,3629.34,12.0,743.74,14.41,7.98,78.93,315096.0,3
35,41.55,125.05,260.87,297.86,10.38,10.44,10.3,94.11,274.74,27.45,38.96,954.72,5697.5,5406.88,6420.0,7.96,18.0,3632.11,12.0,747.5,21.58,8.0,77.72,349844.0,3
36,41.36,125.02,259.98,297.89,10.34,10.41,10.31,94.24,278.29,28.64,40.47,936.86,5713.75,5413.75,6433.75,7.96,18.0,3623.79,10.0,703.41,26.54,8.03,78.83,350484.0,3
37,41.24,124.78,259.93,297.83,10.35,10.42,10.33,94.24,278.29,27.2,38.23,965.98,5709.38,5410.0,6425.0,7.97,18.0,3620.56,8.0,451.0,26.99,8.06,80.11,334171.0,3
