ID,C1,C2,C3,C4,C5
1,0.4,0.4,0.4,0.4,0.4
2,0.75,0.75,0.75,0.75,0.75
3,0.75,0.75,0.75,0.75,0.75
4,0.5,0.5,0.5,0.5,0.5
5,0.65,0.65,0.65,0.65,0.65
6,0.4,0.4,0.4,0.4,0.4
7,0.75,0.75,0.75,0.75,0.75
8,0.25,0.25,0.25,0.25,0.25
9,0.35,0.35,0.35,0.35,0.35
10,0.25,0.25,0.25,0.25,0.25
11,0.6,0.6,0.6,0.6,0.6
12,0.7,0.7,0.7,0.7,0.7
13,0.35,0.35,0.35,0.35,0.35
14,0.25,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25,0.25
17,0.35,0.35,0.35,0.35,0.35
18,0.3,0.3,0.3,0.3,0.3
19,0.3,0.3,0.3,0.3,0.3
20,0.35,0.35,0.35,0.35,0.35
21,0.4,0.4,0.4,0.4,0.4
22,0.45,0.45,0.45,0.45,0.45
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.2,0.2,0.2,0.2,0.2
26,0.25,0.25,0.25,0.25,0.25
27,0.05,0.05,0.05,0.05,0.05
28,0.05,0.05,0.05,0.05,0.05
29,0.25,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25,0.25
31,0.2,0.2,0.2,0.2,0.2
32,0.3,0.3,0.3,0.3,0.3
33,0.3,0.3,0.3,0.3,0.3
34,0.3,0.3,0.3,0.3,0.3
35,0.3,0.3,0.3,0.3,0.3
36,0.4,0.4,0.4,0.4,0.4
37,0.3,0.3,0.3,0.3,0.3
38,0.5,0.5,0.5,0.5,0.5
39,0.25,0.25,0.25,0.25,0.25
40,0.45,0.45,0.45,0.45,0.45
41,0.25,0.25,0.25,0.25,0.25
42,0.25,0.25,0.25,0.25,0.25
43,0.55,0.55,0.55,0.55,0.55
44,0.5,0.5,0.5,0.5,0.5
45,0.15,0.15,0.15,0.15,0.15
46,0.25,0.25,0.25,0.25,0.25
47,0.4,0.4,0.4,0.4,0.4
48,0.4,0.4,0.4,0.4,0.4
49,0.4,0.4,0.4,0.4,0.4
50,0.6,0.6,0.6,0.6,0.6
51,0.5,0.5,0.5,0.5,0.5
52,0.6,0.6,0.6,0.6,0.6
53,0.6,0.6,0.6,0.6,0.6
54,0.65,0.65,0.65,0.65,0.65
55,0.3,0.3,0.3,0.3,0.3
56,0.55,0.55,0.55,0.55,0.55
57,0.4,0.4,0.4,0.4,0.4
58,0.45,0.45,0.45,0.45,0.45
59,0.4,0.4,0.4,0.4,0.4
60,0.25,0.25,0.25,0.25,0.25
61,0.35,0.35,0.35,0.35,0.35
62,0.1,0.1,0.1,0.1,0.1
63,0.5,0.5,0.5,0.5,0.5
64,0.4,0.4,0.4,0.4,0.4
65,0.15,0.15,0.15,0.15,0.15
66,0.35,0.35,0.35,0.35,0.35
67,0.3,0.3,0.3,0.3,0.3
68,0.3,0.3,0.3,0.3,0.3
69,0.5,0.5,0.5,0.5,0.5
70,0.3,0.3,0.3,0.3,0.3
71,0.2,0.2,0.2,0.2,0.2
72,0.85,0.85,0.85,0.85,0.85
73,0.55,0.55,0.55,0.55,0.55
74,0.35,0.35,0.35,0.35,0.35
75,0.65,0.65,0.65,0.65,0.65
76,0.3,0.3,0.3,0.3,0.3
77,0.3,0.3,0.3,0.3,0.3
78,0.25,0.25,0.25,0.25,0.25
79,0.25,0.25,0.25,0.25,0.25
80,0.75,0.75,0.75,0.75,0.75
81,0.8,0.8,0.8,0.8,0.8
82,0.85,0.85,0.85,0.85,0.85
83,0.6,0.6,0.6,0.6,0.6
84,0.7,0.7,0.7,0.7,0.7
85,0.25,0.25,0.25,0.25,0.25
86,0.25,0.25,0.25,0.25,0.25
87,0.25,0.25,0.25,0.25,0.25
88,0.4,0.4,0.4,0.4,0.4
89,0.25,0.25,0.25,0.25,0.25
90,0.25,0.25,0.25,0.25,0.25
91,0.35,0.35,0.35,0.35,0.35
92,0.5,0.5,0.5,0.5,0.5
93,0.35,0.35,0.35,0.35,0.35
94,0.55,0.55,0.55,0.55,0.55
95,0.25,0.25,0.25,0.25,0.25
96,0.45,0.45,0.45,0.45,0.45
97,0.4,0.4,0.4,0.4,0.4
98,0.1,0.1,0.1,0.1,0.1
99,0.1,0.1,0.1,0.1,0.1
100,0.1,0.1,0.1,0.1,0.1
101,0.1,0.1,0.1,0.1,0.1
102,0.05,0.05,0.05,0.05,0.05
103,0.15,0.15,0.15,0.15,0.15
104,0.15,0.15,0.15,0.15,0.15
105,0.3,0.3,0.3,0.3,0.3
106,0.45,0.45,0.45,0.45,0.45
107,0.45,0.45,0.45,0.45,0.45
108,0.55,0.55,0.55,0.55,0.55
109,0.45,0.45,0.45,0.45,0.45
110,0.35,0.35,0.35,0.35,0.35
111,0.4,0.4,0.4,0.4,0.4
112,0.4,0.4,0.4,0.4,0.4
113,0.3,0.3,0.3,0.3,0.3
114,0.25,0.25,0.25,0.25,0.25
115,0.25,0.25,0.25,0.25,0.25
116,0.5,0.5,0.5,0.5,0.5
117,0.4,0.4,0.4,0.4,0.4
118,0.6,0.6,0.6,0.6,0.6
119,0.3,0.3,0.3,0.3,0.3
120,0.2,0.2,0.2,0.2,0.2
121,0.2,0.2,0.2,0.2,0.2
122,0.2,0.2,0.2,0.2,0.2
123,0.35,0.35,0.35,0.35,0.35
124,0.35,0.35,0.35,0.35,0.35
125,0.3,0.3,0.3,0.3,0.3
126,0.15,0.15,0.15,0.15,0.15
127,0.35,0.35,0.35,0.35,0.35
128,0.1,0.1,0.1,0.1,0.1
129,0.15,0.15,0.15,0.15,0.15
130,0.4,0.4,0.4,0.4,0.4
131,0.1,0.1,0.1,0.1,0.1
132,0.35,0.35,0.35,0.35,0.35
133,0.25,0.25,0.25,0.25,0.25
134,0.05,0.05,0.05,0.05,0.05
135,0.4,0.4,0.4,0.4,0.4
136,0.6,0.6,0.6,0.6,0.6
137,0.45,0.45,0.45,0.45,0.45
138,0.15,0.15,0.15,0.15,0.15
139,0.35,0.35,0.35,0.35,0.35
140,0.3,0.3,0.3,0.3,0.3
141,0.2,0.2,0.2,0.2,0.2
142,0.35,0.35,0.35,0.35,0.35
143,0.65,0.65,0.65,0.65,0.65
144,0.5,0.5,0.5,0.5,0.5
145,0.3,0.3,0.3,0.3,0.3
146,0.15,0.15,0.15,0.15,0.15
147,0.25,0.25,0.25,0.25,0.25
148,0.25,0.25,0.25,0.25,0.25
149,0.15,0.15,0.15,0.15,0.15
150,0.1,0.1,0.1,0.1,0.1
151,0.3,0.3,0.3,0.3,0.3
152,0.25,0.25,0.25,0.25,0.25
153,0.25,0.25,0.25,0.25,0.25
154,0.3,0.3,0.3,0.3,0.3
155,0.4,0.4,0.4,0.4,0.4
156,0.3,0.3,0.3,0.3,0.3
157,0.35,0.35,0.35,0.35,0.35
158,0.1,0.1,0.1,0.1,0.1
159,0.0,0.0,0.0,0.0,0.0
160,0.35,0.35,0.35,0.35,0.35
161,0.35,0.35,0.35,0.35,0.35
162,0.3,0.3,0.3,0.3,0.3
163,0.4,0.4,0.4,0.4,0.4
164,0.45,0.45,0.45,0.45,0.45
165,0.05,0.05,0.05,0.05,0.05
166,0.25,0.25,0.25,0.25,0.25
167,0.4,0.4,0.4,0.4,0.4
168,0.35,0.35,0.35,0.35,0.35
169,0.4,0.4,0.4,0.4,0.4
170,0.35,0.35,0.35,0.35,0.35
171,0.15,0.15,0.15,0.15,0.15
172,0.55,0.55,0.55,0.55,0.55
173,0.5,0.5,0.5,0.5,0.5
174,0.1,0.1,0.1,0.1,0.1
175,0.4,0.4,0.4,0.4,0.4
176,0.5,0.5,0.5,0.5,0.5
177,0.3,0.3,0.3,0.3,0.3
178,0.4,0.4,0.4,0.4,0.4
179,0.25,0.25,0.25,0.25,0.25
180,0.3,0.3,0.3,0.3,0.3
181,0.35,0.35,0.35,0.35,0.35
182,0.3,0.3,0.3,0.3,0.3
183,0.45,0.45,0.45,0.45,0.45
184,0.05,0.05,0.05,0.05,0.05
185,0.25,0.25,0.25,0.25,0.25
186,0.45,0.45,0.45,0.45,0.45
187,0.35,0.35,0.35,0.35,0.35
188,0.5,0.5,0.5,0.5,0.5
189,0.25,0.25,0.25,0.25,0.25
190,0.45,0.45,0.45,0.45,0.45
191,0.35,0.35,0.35,0.35,0.35
192,0.45,0.45,0.45,0.45,0.45
193,0.6,0.6,0.6,0.6,0.6
194,0.65,0.65,0.65,0.65,0.65
195,0.15,0.15,0.15,0.15,0.15
196,0.0,0.0,0.0,0.0,0.0
197,0.15,0.15,0.15,0.15,0.15
198,0.15,0.15,0.15,0.15,0.15
199,0.15,0.15,0.15,0.15,0.15
200,0.25,0.25,0.25,0.25,0.25
201,0.45,0.45,0.45,0.45,0.45
202,0.4,0.4,0.4,0.4,0.4
203,0.0,0.0,0.0,0.0,0.0
204,0.15,0.15,0.15,0.15,0.15
205,0.2,0.2,0.2,0.2,0.2
206,0.15,0.15,0.15,0.15,0.15
207,0.05,0.05,0.05,0.05,0.05
208,0.35,0.35,0.35,0.35,0.35
209,0.25,0.25,0.25,0.25,0.25
210,0.35,0.35,0.35,0.35,0.35
211,0.35,0.35,0.35,0.35,0.35
212,0.55,0.55,0.55,0.55,0.55
213,0.2,0.2,0.2,0.2,0.2
214,0.1,0.1,0.1,0.1,0.1
215,0.15,0.15,0.15,0.15,0.15
216,0.0,0.0,0.0,0.0,0.0
217,0.05,0.05,0.05,0.05,0.05
218,0.1,0.1,0.1,0.1,0.1
219,0.4,0.4,0.4,0.4,0.4
220,0.2,0.2,0.2,0.2,0.2
221,0.2,0.2,0.2,0.2,0.2
222,0.4,0.4,0.4,0.4,0.4
223,0.15,0.15,0.15,0.15,0.15
224,0.15,0.15,0.15,0.15,0.15
225,0.4,0.4,0.4,0.4,0.4
226,0.25,0.25,0.25,0.25,0.25
227,0.4,0.4,0.4,0.4,0.4
228,0.6,0.6,0.6,0.6,0.6
229,0.2,0.2,0.2,0.2,0.2
