ID,C1,C2,C3,C4,C5
1,0.3735,0.3735,0.3735,0.3735,0.3735
2,0.4395,0.4395,0.4395,0.4395,0.4395
3,0.42925,0.42925,0.42925,0.42925,0.42925
4,0.42275,0.42275,0.42275,0.42275,0.42275
5,0.40475,0.40475,0.40475,0.40475,0.40475
6,0.35875,0.35875,0.35875,0.35875,0.35875
7,0.42975,0.42975,0.42975,0.42975,0.42975
8,0.2825,0.2825,0.2825,0.2825,0.2825
9,0.311,0.311,0.311,0.311,0.311
10,0.29975,0.29975,0.29975,0.29975,0.29975
11,0.31,0.31,0.31,0.31,0.31
12,0.3465,0.3465,0.3465,0.3465,0.3465
13,0.3,0.3,0.3,0.3,0.3
14,0.273,0.273,0.273,0.273,0.273
15,0.2435,0.2435,0.2435,0.2435,0.2435
16,0.25925,0.25925,0.25925,0.25925,0.25925
17,0.283,0.283,0.283,0.283,0.283
18,0.27275,0.27275,0.27275,0.27275,0.27275
19,0.2815,0.2815,0.2815,0.2815,0.2815
20,0.2995,0.2995,0.2995,0.2995,0.2995
21,0.281,0.281,0.281,0.281,0.281
22,0.2975,0.2975,0.2975,0.2975,0.2975
23,0.241,0.241,0.241,0.241,0.241
24,0.23925,0.23925,0.23925,0.23925,0.23925
25,0.243,0.243,0.243,0.243,0.243
26,0.289,0.289,0.289,0.289,0.289
27,0.24225,0.24225,0.24225,0.24225,0.24225
28,0.27225,0.27225,0.27225,0.27225,0.27225
29,0.29025,0.29025,0.29025,0.29025,0.29025
30,0.33875,0.33875,0.33875,0.33875,0.33875
31,0.26925,0.26925,0.26925,0.26925,0.26925
32,0.28175,0.28175,0.28175,0.28175,0.28175
33,0.2755,0.2755,0.2755,0.2755,0.2755
34,0.29675,0.29675,0.29675,0.29675,0.29675
35,0.303,0.303,0.303,0.303,0.303
36,0.31525,0.31525,0.31525,0.31525,0.31525
37,0.342,0.342,0.342,0.342,0.342
38,0.3435,0.3435,0.3435,0.3435,0.3435
39,0.32025,0.32025,0.32025,0.32025,0.32025
40,0.33325,0.33325,0.33325,0.33325,0.33325
41,0.3285,0.3285,0.3285,0.3285,0.3285
42,0.34025,0.34025,0.34025,0.34025,0.34025
43,0.33875,0.33875,0.33875,0.33875,0.33875
44,0.3055,0.3055,0.3055,0.3055,0.3055
45,0.31525,0.31525,0.31525,0.31525,0.31525
46,0.31175,0.31175,0.31175,0.31175,0.31175
47,0.322,0.322,0.322,0.322,0.322
48,0.3105,0.3105,0.3105,0.3105,0.3105
49,0.31575,0.31575,0.31575,0.31575,0.31575
50,0.353,0.353,0.353,0.353,0.353
51,0.353,0.353,0.353,0.353,0.353
52,0.368,0.368,0.368,0.368,0.368
53,0.3465,0.3465,0.3465,0.3465,0.3465
54,0.33025,0.33025,0.33025,0.33025,0.33025
55,0.3175,0.3175,0.3175,0.3175,0.3175
56,0.31925,0.31925,0.31925,0.31925,0.31925
57,0.32,0.32,0.32,0.32,0.32
58,0.30475,0.30475,0.30475,0.30475,0.30475
59,0.319,0.319,0.319,0.319,0.319
60,0.348,0.348,0.348,0.348,0.348
61,0.3275,0.3275,0.3275,0.3275,0.3275
62,0.31675,0.31675,0.31675,0.31675,0.31675
63,0.317,0.317,0.317,0.317,0.317
64,0.325,0.325,0.325,0.325,0.325
65,0.32075,0.32075,0.32075,0.32075,0.32075
66,0.36075,0.36075,0.36075,0.36075,0.36075
67,0.3365,0.3365,0.3365,0.3365,0.3365
68,0.3085,0.3085,0.3085,0.3085,0.3085
69,0.32,0.32,0.32,0.32,0.32
70,0.31675,0.31675,0.31675,0.31675,0.31675
71,0.297,0.297,0.297,0.297,0.297
72,0.32775,0.32775,0.32775,0.32775,0.32775
73,0.34525,0.34525,0.34525,0.34525,0.34525
74,0.3525,0.3525,0.3525,0.3525,0.3525
75,0.33475,0.33475,0.33475,0.33475,0.33475
76,0.34675,0.34675,0.34675,0.34675,0.34675
77,0.28325,0.28325,0.28325,0.28325,0.28325
78,0.2945,0.2945,0.2945,0.2945,0.2945
79,0.31,0.31,0.31,0.31,0.31
80,0.28425,0.28425,0.28425,0.28425,0.28425
81,0.30925,0.30925,0.30925,0.30925,0.30925
